Individual	Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
190	48.1	0.00645988	-0.0192243	-0.0471502	-0.0724006	-0.0462582	0.0336109	0.0887875	0.0183548	0.0511423	0.00296609
191	48.1	0.0290822	0.0176213	-0.0225229	-0.0162311	0.000784949	-0.0306429	0.0180685	-0.070002	0.0487243	-0.0255603
192	48.1	-0.0175919	0.0382971	0.0911426	-0.0321819	-0.137121	0.0768926	0.0445357	0.0311477	0.101295	0.0280472
193	48.1	-0.0276365	0.00726709	-0.0114448	0.0577293	0.0127751	-0.0245281	-0.0161011	0.0112307	-0.0646744	-0.0207028
194	48.1	0.0645022	0.17342	-0.161578	0.184	0.0552935	-0.0328385	0.0793269	0.457497	0.0906397	-0.396052
195	48.1	-0.0779562	0.145276	-0.0952289	-0.0128802	0.153529	-0.389848	0.0505956	0.170625	0.183128	0.14504
196	48.1	-0.000878271	-0.0160278	0.0238125	-0.0387081	-0.013861	0.0485159	0.0235317	-0.00655143	0.089311	0.0303678
197	48.1	0.0348437	-0.0361937	-0.0801285	0.00717301	0.00928695	0.00422837	0.00253521	-0.0108236	0.0568082	-0.0354994
198	48.1	0.00735154	-0.172051	-0.116504	0.251278	0.0914694	-0.0319239	-0.416997	0.0238984	-0.363544	-0.287612
199	48.1	0.0325954	0.0291376	0.0056119	0.0442212	0.00121859	-0.0100582	0.0199175	-0.0166692	0.0112562	0.0130307
200	48.1	0.0140733	0.0182313	0.00896131	-0.0245256	-0.016406	0.00551119	0.00342128	-0.00841828	0.00512897	-0.00218035
201	48.1	0.0227601	-0.085999	-0.0746185	-0.0795108	0.0717512	0.0550686	-0.0479943	-0.0555965	-0.148189	-0.0636472
203	48.1	0.00260198	-0.00937884	0.0695947	0.0129038	-0.0813998	-0.00857776	-0.0360872	-0.0254007	0.000958131	0.00984656
204	48.1	0.0907804	-0.127023	0.115084	0.56447	-0.305113	-0.0295757	0.113803	-0.206984	0.0383223	0.121781
206	48.1	0.0506496	0.0715626	0.00254073	-0.0423707	-0.0557778	-0.000426913	0.0113115	0.0033138	-0.00802679	0.0608831
207	48.1	0.0441263	0.102754	0.090374	0.0802895	0.0160891	0.0513371	-0.327752	0.255018	0.143385	0.329863
208	48.1	-0.0296631	0.0132811	0.0226752	-0.0674705	0.187799	-0.156886	-0.0796679	0.0827115	-0.0121654	0.0454158
209	48.1	0.0119192	-0.0513361	-0.00747355	-0.00785527	-5.09E-05	0.0630257	0.0233678	0.0414254	-0.0373353	-0.0500654
210	48.1	0.0414778	-0.0570631	-0.0774923	-0.00192026	0.0838022	0.0257901	0.0363468	-0.00172134	-0.00709164	0.0261426
211	48.1	0.00648006	-0.0258312	0.0608775	0.044206	-0.015902	-0.0340087	0.0160166	-0.0756163	0.0178915	0.0021769
212	48.1	-0.0699786	0.161436	0.404435	0.318155	0.674233	0.111989	-0.0469356	-0.170662	0.0374247	0.00108476
213	48.1	0.0349418	-0.0792386	-0.0290898	-0.0189836	-0.0149448	0.0427309	-0.039387	0.0198117	0.105516	-0.0101942
214	48.1	-0.0980097	0.111969	-0.0614726	-0.126817	0.278968	0.0843155	0.141365	-0.190193	0.205676	0.0185965
215	48.1	0.00088077	-0.0543236	-0.0227394	-0.0281144	0.0468657	0.0564756	-0.0215818	0.0297021	-0.11501	0.0356286
216	48.1	0.0270279	0.0485014	-0.0920031	-0.239329	0.0285161	0.0191366	0.0886128	-0.219032	-0.130823	-0.0979167
217	48.1	-0.0238916	-0.0118114	-0.035728	-0.0158245	-0.103612	0.0607997	-0.149496	0.0631356	0.205208	-0.160969
218	48.1	-0.00906079	0.157217	-0.00159135	-0.0279431	0.045634	0.111371	-0.00252576	0.0318326	-0.0294026	-0.110069
219	48.1	0.0177896	-0.109917	-0.0972204	-0.046058	0.0710387	-0.0245005	0.022184	-0.0650076	0.141108	-0.228689
223	48.1	-0.0204764	-0.0240412	-0.0127013	0.0542482	-0.00344826	0.0814484	0.0342279	-0.0916792	-0.0214052	0.0435977
224	48.1	0.0519695	0.0161	-0.0331177	-0.0120735	0.0156824	-0.0620399	-0.0103887	-0.0122307	0.0304306	-0.017574
225	48.1	-0.00706663	0.0618899	0.0051307	-0.0341101	-0.0213665	0.197799	-0.0148724	-0.014375	-0.0372974	0.131619
226	48.1	0.0093804	0.0425724	-0.0572132	0.0550674	-0.0373058	0.00926406	-0.010855	-0.01094	-0.0854286	0.00707949
228	48.1	-0.00295518	-0.0313434	-0.0292199	-0.0125512	0.0235289	-0.112479	0.129034	0.0476258	0.0330479	-0.0221433
229	48.1	0.0102309	0.0068699	0.0324993	-0.0288814	-0.0125329	0.00979856	-0.00629282	-0.0475234	-0.0303573	-0.0262693
230	48.1	0.0380721	-0.0259985	0.0202103	0.010565	0.0238805	0.0201352	-0.0683576	0.116676	0.00835842	0.00690943
231	48.1	-0.00620624	0.0097829	-0.0585047	0.0539177	-0.0284503	0.0334121	-0.0163869	0.0308828	0.00383969	0.00745533
232	48.1	0.0251824	-0.0428017	-0.0235891	-0.00141649	0.00116806	0.00395987	0.0208647	-0.012457	-0.102015	0.0719396
233	48.1	-0.00940301	0.0156723	-0.0177389	-0.00925103	0.0370731	-0.0499593	0.0545641	-0.0357385	-0.000558949	0.0255661
234	48.1	0.0119343	-0.0320562	-0.0804664	-0.0584265	0.0531964	0.124802	-0.0330762	-0.0488714	0.0558666	-0.0623641
235	48.1	0.0273165	-0.0283019	-0.0137239	-0.0436748	0.0862073	0.060215	0.0118211	-0.0864636	0.129207	-0.0423505
238	48.2	0.0145083	-0.0370315	0.0454422	0.0538415	-0.0157941	0.0922465	0.0486682	-0.032955	0.023245	0.0368533
240	48.2	0.0203066	0.0436748	0.0399687	-0.0297104	-0.0301378	-0.0155661	-0.0122024	-0.00670933	0.0435152	0.022809
241	48.2	-0.0217327	-0.0479413	0.0883231	0.0314914	-0.0592531	0.128439	0.0453887	-0.0098945	-0.166999	0.0150044
242	48.2	0.0400406	0.0474687	-0.0319229	0.0336518	-0.0194353	-0.0592076	-0.00522163	-0.0183835	0.0292665	-0.0648642
243	48.2	-0.0139288	-0.0340915	-0.081185	0.0384853	0.0230379	-0.0435745	0.0614773	0.0406027	0.037526	-0.00560907
244	48.2	0.0602091	-0.0389184	-0.0149377	0.0529271	-0.0573148	-0.0621457	-0.0401385	-0.0229669	-0.0703405	0.0424642
247	48.2	0.0196319	-0.00431952	0.00716627	0.0155974	-0.0375422	-0.00621821	-0.0150786	0.0209794	0.0931069	0.0366201
248	48.2	-0.017528	-0.0546243	-0.0602776	-0.0337592	0.0051625	-0.00888666	0.0369725	-0.0794597	-0.115258	-0.016264
249	48.2	0.0419843	0.0036283	-0.0293376	-0.0728998	-0.00418343	0.0282734	0.0189159	-0.0182039	0.0219833	0.00923338
250	48.2	-0.000642285	-0.0432084	-0.0615728	0.107639	0.0225466	0.057238	0.00162762	-0.0174138	-0.0109057	-0.0449512
251	48.2	-0.000510779	-0.0234213	0.00350581	-0.0190814	0.0374307	-0.0326219	-0.0361587	0.0217105	-0.00682584	0.014677
252	48.2	0.00172486	-0.0143251	-0.0727833	-0.0662065	0.000479755	-0.00899411	0.0713248	0.0248108	0.0212434	-0.0323104
253	48.2	0.0529971	0.142494	0.0232391	-0.028994	-0.132607	-0.0875996	-0.0893908	-0.155414	0.131992	0.00719062
254	48.2	-0.0316365	-0.0160332	-0.0258515	-0.0220605	0.00763032	0.0407447	-0.00176714	0.0213065	-0.0491489	-0.0438455
258	48.2	0.00837393	0.0333608	-0.00931528	0.0117092	-0.0169063	-0.0280959	0.0223363	0.0179993	-0.0168813	-0.0145293
259	48.2	0.007826	-0.0562417	-0.0124717	-0.0592764	-0.0381506	0.00317403	0.0886852	-0.0102813	0.0520529	-0.0540982
260	48.2	0.0228066	-0.0535635	-0.056508	-0.0220595	-0.0213423	-0.0254667	-0.0146889	-0.00881145	0.0337793	-0.00502868
261	48.2	0.0253521	0.0726379	0.153018	-0.131328	0.0690022	-0.326713	0.0190478	0.11898	-0.417033	0.287999
262	48.2	0.0402732	0.0343878	-0.0588656	-0.0139746	0.027703	-0.0524353	-0.0201136	-0.0170629	0.0702568	-0.0535697
263	48.2	0.0177534	-0.0136804	-0.0709805	0.0446935	-0.0134521	-0.0539825	0.00595127	0.0855722	0.0465322	0.120285
264	48.2	0.030989	-0.0628751	0.0920396	0.0340225	-0.02382	-0.107075	0.0671938	-0.0456984	-0.0575508	0.0361251
265	48.2	0.0709234	-0.099292	-0.0215851	0.00901027	-0.0107056	-0.00153189	0.0883582	-0.0113998	-0.144189	0.0897525
266	48.2	0.0165595	-0.0496717	-0.0264391	0.183523	-0.118215	-0.0772294	-0.0947569	-0.115421	-0.0329553	-0.0665054
267	48.2	0.0337871	0.0136944	-0.0555185	-0.0450997	0.0913544	0.071121	0.000442397	0.0220789	-0.229226	-0.0471104
268	48.2	0.0632872	0.0512757	0.0370337	0.0437554	-0.0191085	-0.0980372	-0.0899738	0.152994	-0.006189	-0.116053
269	48.2	0.0137509	0.0200534	-0.00961252	0.0159763	-0.02403	-0.0510584	0.0229232	0.00485699	-0.0258311	0.0464735
271	48.2	-0.0152962	0.01033	-0.0123631	0.0162355	-0.00285463	-0.0160801	0.0199653	-0.0487037	0.0231961	0.057141
272	48.2	0.0191509	-0.000385937	-0.0426076	0.0219194	0.0150996	-0.0885171	-0.0157146	-0.00249306	-0.00358074	-0.0391737
274	48.2	0.0403476	-0.308801	0.702972	-0.274143	-0.125093	-0.100176	-0.0735711	0.0990205	0.0869932	-0.282576
275	48.2	-0.00666814	0.0138488	-0.00885601	0.0196137	-0.0265885	0.00360936	0.0721314	-0.0880697	0.0283023	0.0147583
276	48.2	-0.00294779	0.0193334	0.0132744	-0.0274112	0.00181677	-0.0162933	-0.0427754	0.030879	-0.0385593	-0.0415161
277	48.2	-0.0285502	-0.0864375	0.0208418	-0.0156243	-0.0601809	0.230486	-0.155024	0.314487	0.126491	0.248974
278	48.2	0.0527248	0.0167294	-0.0417688	-0.0311472	-0.0582765	0.0619776	0.110173	0.0084208	-0.0654292	-0.0668036
279	48.2	0.00703557	0.0387757	-0.038102	-0.0393471	0.0319623	-0.00718956	-0.0292731	0.0859548	-0.0369306	0.0205889
280	48.2	0.0263364	0.00994847	-0.00425819	0.0469723	-0.0166722	-0.00432543	0.0493608	-0.0322816	0.00828866	0.00233785
281	48.2	-0.0721988	-0.0456282	0.0342058	-0.098536	0.00794915	-0.160114	0.177829	0.0115279	-0.0985427	0.0814574
282	48.2	-0.937152	-0.0849535	-0.0253226	0.0530017	-0.111071	-0.0338529	-0.0327579	-0.00354619	-0.0162952	-0.0450157
283	48.2	-0.0226373	-0.05214	0.029825	0.0597165	-0.0558513	-0.0204242	0.0692431	-0.00201399	-0.00406508	0.0233251
284	48.2	-0.0235344	-0.0434479	0.0208594	-0.0276902	-0.00519484	0.15923	0.0424329	-0.0422017	-0.151962	-0.0181137
285	48.2	0.000702279	-0.121725	-0.0141673	-0.103431	0.0060571	0.0264909	0.0431495	0.00821075	-0.0492272	-0.0290199
286	48.2	0.0286099	0.0222262	-0.0268575	0.0399579	-0.0451294	-0.046407	0.00219687	-0.0712213	-0.0424655	0.0793352
290	48.4	0.0203609	0.0180184	-0.0311906	-0.0256623	-0.0515662	-0.0257512	-0.0247863	-0.107819	0.0463053	0.117697
291	48.4	-0.044942	0.103035	0.084381	-0.0510828	-0.0451834	0.485239	0.216274	0.205467	-0.1365	0.0800757
