Individual	Population	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
190	48.1	-0.0551046	0.0664842	0.045626	-0.0470469	0.073693	0.0347583	-0.01422	-0.00131232	-0.0994818	-0.0602102
191	48.1	0.0013548	0.0337565	1.77E-05	0.0204412	-0.00413296	0.063128	-0.0559612	-0.014576	-0.0108797	0.0362967
192	48.1	-0.0771237	-0.0775345	0.0615367	-0.0739538	0.150631	-0.0310587	-0.144133	0.090137	-0.187602	-0.0923879
193	48.1	0.0207217	-0.00925679	-0.052675	0.0279935	-0.016515	-0.00209032	0.0578827	-0.000282706	-0.0171987	-0.045308
194	48.1	0.108063	0.120719	-0.322606	0.024721	0.257024	-0.34783	-0.0215322	-0.44847	-0.104668	0.159252
195	48.1	0.21088	0.1778	-0.0637932	0.404608	0.161073	-0.0808037	-0.168874	0.0509415	0.21584	0.0498056
196	48.1	-0.00968914	-0.0126742	0.0590842	-0.0460952	0.0196524	0.0102557	-0.0859028	0.00148782	0.0953383	-0.0540233
197	48.1	-0.0226904	0.0615209	-0.0389183	-0.00918468	-0.0279044	0.0229624	-0.0403523	-0.0562951	0.0530751	0.0174188
198	48.1	-0.0404244	-0.0489437	-0.252892	0.0436087	-0.507177	-0.196249	0.312398	-0.133804	-0.24003	-0.132412
199	48.1	0.0157422	-0.0165088	-0.0415914	0.00839342	0.0269898	0.0234432	-0.0163671	0.0319756	-0.0645004	0.00968033
200	48.1	-0.00842816	0.00330659	0.0194683	-0.00579544	0.0107882	0.00270692	-0.0133611	0.0106029	-0.00292062	-0.0414492
201	48.1	-0.00664757	0.0828656	0.0576144	-0.0590081	-0.144922	0.0295932	0.152045	-0.0879453	0.141764	-0.0925423
203	48.1	-0.0633809	-0.0776632	0.0184292	0.0104145	-0.00636059	0.00597442	-0.0208164	0.0262494	-0.00606966	-0.00421794
204	48.1	-0.239279	-0.406256	-0.410961	0.0288338	0.0517996	0.274498	-0.053595	0.105848	0.0272607	0.168302
206	48.1	-0.0289875	0.0202078	0.0184355	-0.00261899	0.0662645	-0.00647916	0.0104035	0.0653841	-0.0420252	0.0659113
207	48.1	0.0607216	-0.0834036	-0.0486205	-0.0177513	-0.016237	-0.379241	-0.171258	0.377204	-0.217417	0.174402
208	48.1	0.159045	0.042461	0.0747078	0.16941	-0.075707	-0.10661	0.0141219	-0.00586903	0.0740507	0.0556204
209	48.1	-0.0252821	-0.00711354	0.0109503	-0.061293	-0.00169812	-0.0287015	0.0389305	-0.0455587	-0.0357966	-0.0287458
210	48.1	0.0243574	0.055641	-0.0186663	-0.0277916	-0.0304788	0.0191717	0.024008	0.00502921	-0.104846	0.107136
211	48.1	-0.0110611	-0.0799995	-0.00757339	0.0333902	-0.0190277	0.0807239	-0.0364272	0.00298952	-0.0102841	0.0114408
212	48.1	0.754039	-0.400897	-0.0514706	-0.0670884	-0.216519	0.0979644	-0.0332363	0.0115402	0.0109877	-0.123624
213	48.1	-0.0560193	0.0177455	0.0149946	-0.0393954	-0.0444264	-0.0247061	-0.0883239	-0.0320533	0.0747073	-0.0173005
214	48.1	0.322595	0.204384	0.115531	-0.125087	0.0237763	0.240674	-0.185285	-0.00132402	-0.067682	0.187793
215	48.1	0.0029524	0.0170784	0.0235444	-0.0447938	-0.0546169	-0.0357019	0.112038	0.00115193	0.0542968	0.083541
